socpOptval,LTROptval,RTROptval,ltr_err,rtr_err
53.2871608711881,53.2871611089619,53.287161259332,4.46212263792329e-09,7.28400511846857e-09
88.4285192113229,88.4285190248985,88.4285190369699,2.10819318147788e-09,1.97168296469899e-09
114.948208192964,114.948208210161,114.948208253248,1.49605853309344e-10,5.24440266021617e-10
142.431224852957,142.431224366649,142.431224731579,3.41433466673679e-09,8.52184793026119e-10
178.592245261118,178.592246861001,178.592245326583,8.95830324183403e-09,3.66564623610367e-10
211.482452509049,211.482452434132,211.48245300864,3.5424411584301e-10,2.36232896913459e-09
249.878361971545,249.878361527908,249.878362307474,1.77541088855129e-09,1.34437147882243e-09
271.947625859778,271.947629401001,271.947625884025,1.30217100132517e-08,8.91631140621081e-11
307.547938016666,307.54794288239,307.54793783332,1.5821025167373e-08,5.96155336014976e-10
342.712850787121,342.712850364272,342.712851061864,1.23382846489032e-09,8.01671139706309e-10
376.171757883349,376.171757918243,376.171757955145,9.2759195181118e-11,1.90858929802737e-10
411.996002754716,411.996002351142,411.996002920268,9.79556958727393e-10,4.0183016447353e-10
438.05514390093,438.055151310125,438.055143251704,1.69138395966404e-08,1.48206408649134e-09
471.053131640963,471.053129633361,471.053130638795,4.26194447246037e-09,2.12750463575594e-09
502.222529219052,502.222528443139,502.222528404081,1.54495903855757e-09,1.62273018227474e-09
536.502143419658,536.502144538756,536.502142688051,2.08591479822448e-09,1.36366085967601e-09
